Search keyword report
"August 8, 2020 - August 14, 2020"
Device,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Max. CPC,Impr.,Impr. (Top) %,Search impr. share,Search top IS,Cost,Clicks,Conversions,Click share,Match type,Search exact match IS,Search lost top IS (rank)
Computers,Enabled,[DASHBOARD CAMERA],M7M2-DASHCAM,e--c-dashboard camera-Google,USD,Campaign paused,11.60,200,89.00%,82.99%,80.18%,30.10,5,0.00,54.85%,Exact match, --,19.82%
Tablets,Enabled,[DASHBOARD CAMERA],M7M2-DASHCAM,e--c-dashboard camera-Google,USD,Campaign paused,11.60,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
TV screens,Enabled,[DASHBOARD CAMERA],M7M2-DASHCAM,e--c-dashboard camera-Google,USD,Campaign paused,11.60,0, --, --, --,0.00,0,0.00, --,Exact match, --, --
Tablets,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--c-fleet camera-Bing,USD,Campaign paused,24.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--c-fleet camera-Bing,USD,Campaign paused,24.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--c-fleet camera-Bing,USD,Campaign paused,24.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--c-fleet camera-Bing,USD,Campaign paused,24.10,10,90.00%,71.43%,69.23%,39.41,2,0.00,35.97%,Broad match, --,30.77%
Mobile phones,Enabled, +DASHCAM,M7M2-DASHCAM,b--c-dashcam-Google,USD,Campaign paused,12.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +DASHCAM,M7M2-DASHCAM,b--c-dashcam-Google,USD,Campaign paused,12.40,"1,428",78.29%,40.07%,34.52%,330.84,33,0.00,46.60%,Broad match, --,65.48%
Other,Enabled, +FLEET +CAMERA,M7M2-DASHCAM,b--c-fleet camera-Bing,USD,Campaign paused,24.10,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
TV screens,Enabled, +DASHCAM,M7M2-DASHCAM,b--c-dashcam-Google,USD,Campaign paused,12.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +DASHCAM,M7M2-DASHCAM,b--c-dashcam-Google,USD,Campaign paused,12.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +DASHCAM,M7M2-DASHCAM,b--c-dashcam-Google,USD,Campaign paused,12.40,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Computers,Enabled, +TRUCKER +DASH +CAMERA,M7M2-DASHCAM,b--c-trucker dash camera-Google,USD,Campaign paused,18.80,14,85.71%,87.50%,80.00%,39.75,3,0.00,48.92%,Broad match, --,20.00%
TV screens,Enabled, +TRUCKER +DASH +CAMERA,M7M2-DASHCAM,b--c-trucker dash camera-Google,USD,Campaign paused,18.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Other,Enabled, +TRUCKER +DASH +CAMERA,M7M2-DASHCAM,b--c-trucker dash camera-Google,USD,Campaign paused,18.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Mobile phones,Enabled, +TRUCKER +DASH +CAMERA,M7M2-DASHCAM,b--c-trucker dash camera-Google,USD,Campaign paused,18.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled, +TRUCKER +DASH +CAMERA,M7M2-DASHCAM,b--c-trucker dash camera-Google,USD,Campaign paused,18.80,0, --, --, --,0.00,0,0.00, --,Broad match, --, --
Tablets,Enabled,"""DASH CAM""",M7M2-DASHCAM,p--c-dash cam-Google,USD,Campaign paused,7.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
Computers,Enabled,"""DASH CAM""",M7M2-DASHCAM,p--c-dash cam-Google,USD,Campaign paused,7.80,793,82.85%,53.29%,47.30%,146.31,26,0.00,38.74%,Phrase match, --,52.70%
Other,Enabled,"""DASH CAM""",M7M2-DASHCAM,p--c-dash cam-Google,USD,Campaign paused,7.80,0, --, --, --,0.00,0,0.00, --,Phrase match, --, --
